,Id,Price,Bedrooms,Living_Area,Is_Equiped_Kitchen,Terrace,Garden,State,Facades,Locality_encoded,Type_encoded,SubType_encoded,Prov_encoded,Region_encoded
0,20316087,329000,2,123,1,1,0,1,3,358,1,0,0,0
1,20316069,180000,3,138,0,1,1,3,2,492,1,0,1,1
2,20316048,369000,6,230,0,1,0,5,3,126,1,0,2,0
3,20316039,145000,2,80,1,0,0,1,2,403,1,0,0,0
4,20316038,269000,3,155,1,1,1,1,2,403,1,0,0,0
5,20316037,139000,2,115,1,1,0,1,2,403,1,0,0,0
6,20315970,140000,2,90,1,1,0,1,3,517,1,0,1,1
7,20315960,749000,7,373,1,1,0,3,4,178,1,1,3,0
8,20315930,299000,3,130,1,1,0,2,3,465,1,0,3,0
9,20315897,149900,2,60,0,1,1,1,4,123,1,0,0,0
10,20315889,219000,3,123,0,1,1,5,2,2,1,0,4,0
11,20315886,550000,5,216,0,0,0,1,4,409,1,0,5,0
12,20315876,300000,3,115,1,1,0,3,3,474,1,0,0,0
13,20315875,695000,3,195,0,1,0,3,4,566,1,0,2,0
14,20315873,239000,2,195,0,0,0,5,2,712,1,0,1,1
15,20315872,495000,3,192,1,1,0,2,3,426,1,0,3,0
16,20315871,319000,3,155,0,1,0,1,0,294,1,0,5,0
17,20315870,269000,3,141,1,1,0,1,2,465,1,0,3,0
18,20315866,225000,3,100,0,0,0,2,0,2,1,0,4,0
19,20315865,795000,8,386,0,0,0,4,0,232,1,0,5,0
20,20315859,396353,3,123,0,0,0,3,0,527,1,0,0,0
21,20315855,540000,3,188,0,1,0,1,3,150,1,0,0,0
22,20315854,399000,5,174,1,1,1,1,4,430,1,0,2,0
23,20315852,175000,3,89,0,0,0,2,0,395,1,2,4,0
24,20315851,224000,2,126,0,1,0,1,2,625,0,3,3,0
25,20315847,430000,3,144,0,1,0,2,0,794,1,0,2,0
26,20315846,600000,4,123,0,1,0,1,3,381,1,4,1,1
27,20315845,498000,3,181,0,1,0,2,0,349,1,0,5,0
28,20315843,492216,3,165,0,1,0,2,0,330,0,3,3,0
29,20315840,749000,4,333,1,1,0,1,4,616,1,1,2,0
30,20315838,849000,7,375,1,1,1,1,0,44,1,0,3,0
31,20315837,89000,2,103,0,1,1,4,0,556,1,0,5,0
32,20315836,485000,2,156,0,0,0,2,2,44,1,0,3,0
33,20315834,345000,3,145,0,1,1,1,4,189,1,0,0,0
34,20315830,385000,2,122,0,1,0,1,0,532,0,3,2,0
35,20315829,317000,0,123,0,0,0,1,0,59,0,3,0,0
36,20315827,396353,3,123,0,0,0,3,0,527,1,0,0,0
37,20315805,129000,1,35,1,1,0,1,2,32,0,5,6,2
38,20315792,380000,2,99,1,1,0,1,0,16,0,3,0,0
39,20315765,315000,3,216,0,0,0,1,0,474,1,0,0,0
40,20315758,205000,0,48,1,1,0,3,2,772,0,5,6,2
41,20315720,265000,3,160,0,1,0,5,2,560,1,0,2,0
42,20315712,399500,3,96,1,1,0,2,0,7,0,3,3,0
43,20315702,475000,4,208,1,0,0,2,2,107,1,0,0,0
44,20315699,235000,2,123,1,0,0,1,2,332,1,0,0,0
45,20315692,168000,2,102,1,1,1,2,2,603,1,0,1,1
46,20315691,149000,2,80,1,1,1,2,4,277,1,1,1,1
47,20315565,100000,2,144,1,1,0,4,2,437,1,0,1,1
